Name	Latitude	Longitude	Elevation
NOME_AK_US	64.5011111	-165.4063889	6m
NORFOLK_VA_US	36.8507689	-76.2858726	5m
OKLAHOMA_CITY_OK_US	35.4675602	-97.5164276	366m
OMAHA_NE_US	41.2523634	-95.9979883	362m
ORLANDO_FL_US	28.5383355	-81.3792365	33m
PALMER_AK_US	61.5997222	-149.1127778	71m
PENDLETON_OR_US	45.672075	-118.7885967	326m
PETERSBURG_AK_US	56.8125	-132.9555556	12m
PHILADELPHIA_PA_US	39.9525839	-75.1652215	12m
PHOENIX_AZ_US	33.4483771	-112.0740373	332m
PITTSBURGH_PA_US	40.4406248	-79.9958864	233m
POCATELLO_ID_US	42.8713032	-112.4455344	1360m
PORTLAND_OR_US	45.5230622	-122.6764816	10m
PUEBLO_CO_US	38.2544472	-104.6091409	1430m
RALEIGH-DURHAM_NC_US	35.7795897	-78.6381787	106m
RAPID-CITY_SD_US	44.0805434	-103.2310149	988m
RENO_NV_US	39.5296329	-119.8138027	1373m
RICHMOND_VA_US	37.5407246	-77.4360481	52m
ROANOKE_RAPIDS_NC_US	36.4615395	-77.6541464	48m
SACRAMENTO_CA_US	38.5815719	-121.4943996	8m
SALT_LAKE_CITY_UT_US	40.7607793	-111.8910474	1300m
SAN_ANTONIO_TX_US	29.4241219	-98.4936282	199m
SAN_DIEGO_CA_US	32.715738	-117.1610838	15m
SAN_FRANCISCO_CA_US	37.7749295	-122.4194155	16m
SAN_JUAN_PU_US	26.1892409	-98.1552872	35m
SEATTLE_WA_US	47.6062095	-122.3320708	56m
SEWARD_AK_US	60.1041667	-149.4422222	26m
SHREVEPORT_LA_US	32.5251516	-93.7501789	47m
SIOUX_FALLS_SD_US	43.5445959	-96.7311034	443m
SITKA_AK_US	57.0530556	-135.33	10m
SPOKANE_WA_US	47.6587802	-117.4260466	571m
SPRINGFIELD_MO_US	37.2089572	-93.2922989	398m
STATE_COLLEGE_PA_US	40.7933949	-77.8600012	351m
ST_LOUIS_MO_US	38.6270025	-90.1994042	141m
ST_PAUL_AK_US	57.1224981	-170.2799461	8m
SYRACUSE_NY_US	43.0481221	-76.1474244	121m
TALLAHASSEE_FL_US	30.4382559	-84.2807329	62m
TAMPA_FL_US	27.964572	-82.337792	13m
TOPEKA_KS_US	39.0558235	-95.6890185	283m
TUCSON_AZ_US	32.2217429	-110.926479	759m
TULSA_OK_US	36.1539816	-95.992775	219m
UNALASKA_AK_US	53.8844382	-166.5332434	6m
VALDEZ_AK_US	61.1308333	-146.3483333	30m
WALLOPS_ISLAND_VA_US	37.9106188	-75.452572	0m
WASHINGTON_DC_US	38.9071923	-77.0368707	22m
WASILLA_AK_US	61.5813889	-149.4394444	101m
WICHITA_KS_US	37.6871761	-97.330053	400m
WILMINGTON_OH_US	39.4453393	-83.8285375	310m
WORCESTER_MA_US	42.2625932	-71.8022934	147m
YAKUTAT_AK_US	59.5469444	-139.7272222	21m
ACAPULCO_GR_MX	16.8531086	-99.8236533	204m
AGUASCALIENTES_AG_MX	21.8852562	-102.2915677	1877m
ALTAR_SO_MX	30.714148	-111.8354941	421m
CAMPECHE_CP_MX	18.931225	-90.2618068	63m
CANCUN_QR_MX	21.161908	-86.8515279	13m
CHETUMAL_QR_MX	18.5001889	-88.296146	6m
CHIHUAHUA_CI_MX	28.6329957	-106.0691004	1429m
CHILPANCINGO_GR_MX	17.5515346	-99.5006322	1265m
CIUDAD_DEL_CARMEN_CP_MX	18.64276	-91.832124	5m
CIUDAD_DE_MEXICO_DF_MX	19.4326077	-99.133208	2230m
CIUDAD_JUAREZ_CI_MX	18.9586725	-97.8175364	2176m
CIUDAD_OBREGON_SO_MX	27.4827729	-109.930367	41m
CIUDAD_VICTORIA_TM_MX	23.7369164	-99.1411154	316m
COATZACOALCOS_VZ_MX	18.1344779	-94.4589858	37m
COLIMA_CL_MX	19.1222634	-104.0072348	484m
COZUMEL_QR_MX	20.4229839	-86.9223432	14m
CUERNAVACA_MR_MX	18.960453	-99.245952	1736m
CULIACAN_SI_MX	23.2597789	-106.4002663	15m
DURANGO_DG_MX	24.5592665	-104.6587821	1936m
ENSENADA_BJ_MX	31.8667427	-116.5963713	36m
GUADALAJARA_JA_MX	20.6596988	-103.3496092	1556m
GUANAJUATO_GJ_MX	21.0190145	-101.2573586	2022m
GUAYMAS_SO_MX	27.9178651	-110.9089378	83m
HERMOSILLO_SO_MX	29.0729673	-110.9559192	205m
HIDALGO_DEL_PARRAL_CI_MX	26.9317835	-105.6666166	1718m
HUAJUAPAN_DE_LEON_OA_MX	17.8099792	-97.7791724	1596m
HUATULCO_OA_MX	15.836003	-96.322659	221m
IXTAPA_ZIHUATANEJO_GR_MX	17.6547285	-101.5523182	47m
JALAPA_VZ_MX	19.524495	-96.896155	1328m
LAZARO_CARDENAS_MH_MX	17.9567646	-102.1943485	14m
LA_PAZ_BS_MX	24.1426408	-110.3127531	32m
LEON_GJ_MX	21.1250077	-101.6859605	1805m
LORETO_BS_MX	26.0117564	-111.3477531	7m
LOS_CABOS_BS_MX	23.045581	-109.69582	8m
LOS_MOCHIS_SI_MX	23.2455162	-106.412791	9m
MANZANILLO_CL_MX	19.1138094	-104.3384616	11m
MATAMOROS_TM_MX	25.8690294	-97.5027376	10m
MAZATLAN_SI_MX	23.2494148	-106.4111425	7m
MERIDA_YC_MX	20.9673702	-89.5925857	11m
MEXICALI_BJ_MX	32.6245389	-115.4522623	0m
MONCLOVA_CU_MX	26.9080378	-101.4215236	601m
MONTERREY_NL_MX	25.6866142	-100.3161126	542m
MORELIA_MH_MX	19.7059504	-101.1949825	1906m	
NUEVO_LAREDO_TM_MX	27.4779362	-99.549573	141m
OAXACA_OA_MX	17.0542297	-96.7132304	1542m
ORIZABA_VZ_MX	18.8504744	-97.1036396	1246m
PACHUCA_HG_MX	20.0976128	-98.7095789	2424m
PIEDRAS_NEGRAS_CU_MX	28.6916182	-100.5408622	240m
PROGRESO_YC_MX	21.2811908	-89.6651628	2m
PUEBLA_PU_MX	19.0413068	-98.2061934	2147m
PUERTO_ANGEL_OA_MX	15.6678137	-96.4914257	21m
PUERTO_VALLARTA_JA_MX	20.653407	-105.2253316	8m
QUERETARO_QA_MX	20.5888184	-100.3898876	1822m
REYNOSA_TM_MX	26.0508406	-98.2978951	39m
RIO_VERDE_SL_MX	21.9277923	-99.9856344	990m
SALINA_CRUZ_OA_MX	16.1842839	-95.2087625	83m
SALTILLO_CU_MX	25.43208	-100.9836611	1567m
SANTA_ROSALIA_BS_MX	27.3361939	-112.2701486	14m
SAN_LUIS_POTOSI_SL_MX	22.1564699	-100.9855409	1874m
TAMPICO_TM_MX	22.293139	-97.8846644	34m
TAMUIN_SL_MX	22.0055517	-98.7839191	31m
TAPACHULA_CH_MX	14.9055567	-92.2634136	173m
TEGUCIGALPA_XX_HN	14.093676	-87.179291	1048m
TEMOSACHIC_CI_MX	29.4500149	-108.3665976	2149m
TEPIC_NA_MX	21.5041651	-104.8945887	935m
TIJUANA_BJ_MX	32.5149469	-117.0382471	110m
TLAXCALA_TL_MX	19.318154	-98.2374954	2238m
TOLUCA_EM_MX	19.2826098	-99.6556653	2674m
TORREON_CU_MX	25.5428443	-103.4067861	1128m
TULANCINGO_HG_MX	20.0904802	-98.3690922	2154m
TUXPAN_VZ_MX	20.9561149	-97.4063351	15m
TUXTLA_GUTIERREZ_CH_MX	16.7516009	-93.1029939	522m
VERACRUZ_VZ_MX	19.173773	-96.1342241	14m
VILLAHERMOSA_TA_MX	17.989456	-92.9475061	23m
ZACATECAS_ZT_MX	22.7708555	-102.5832426	2488m
