________,City,Province,Country,TMY-type,WMO,Latitude,Longitude,Time Zone,Elevation,Filename
LOCATION,ABU DHABI,-,ARE,IWEC Data,412170,24.43,54.65,4.0,27.0,ARE_Abu.Dhabi.412170_IWEC
LOCATION,BUENOS AIRES,-,ARG,IWEC Data,875760,-34.82,-58.53,-3.0,20.0,ARG_Buenos.Aires.875760_IWEC
LOCATION,CANBERRA,-,AUS,IWEC Data,949260,-35.30,149.18,10.0,577.0,AUS_ACT.Canberra.949260_IWEC
LOCATION,Canberra Airport,ACT,AUS,RMY,949260,-35.30,149.20,10.0,580.0,AUS_ACT.Canberra.Airport.949260_RMY
LOCATION,Armidale Airport,NSW,AUS,RMY,957730,-30.53,151.62,10.0,1081.0,AUS_NSW.Armidale.Airport.957730_RMY
LOCATION,Cabramurra,NSW,AUS,RMY,959160,-35.93,148.38,10.0,1483.0,AUS_NSW.Cabramurra.959160_RMY
LOCATION,Cobar,NSW,AUS,RMY,947110,-31.48,145.83,10.0,264.0,AUS_NSW.Cobar.947110_RMY
LOCATION,Coffs Harbour,NSW,AUS,RMY,947910,-30.32,153.12,10.0,6.0,AUS_NSW.Coffs.Harbour.947910_RMY
LOCATION,Dubbo Airport,NSW,AUS,RMY,957190,-32.22,148.57,10.0,285.0,AUS_NSW.Dubbo.Airport.957190_RMY
LOCATION,Mascot-Sydney Airport,NSW,AUS,RMY,947670,-33.93,151.17,10.0,5.0,AUS_NSW.Mascot-Sydney.Airport.947670_RMY
LOCATION,Moree Aero,NSW,AUS,RMY,955270,-29.48,149.83,10.0,218.0,AUS_NSW.Moree.Aero.955270_RMY
LOCATION,Nowra RAN Air Station,NSW,AUS,RMY,947500,-34.95,150.53,10.0,105.0,AUS_NSW.Nowra.RAN.Air.Station.947500_RMY
LOCATION,Orange Airport,NSW,AUS,RMY,957260,-33.38,149.13,10.0,948.0,AUS_NSW.Orange.Airport.957260_RMY
LOCATION,Richmond RAAF,NSW,AUS,RMY,957530,-33.60,150.78,10.0,20.0,AUS_NSW.Richmond.RAAF.957530_RMY
LOCATION,SYDNEY,-,AUS,IWEC Data,947670,-33.95,151.18,10.0,3.0,AUS_NSW.Sydney.947670_IWEC
LOCATION,Sydney,NSW,AUS,RMY,947680,-33.85,151.20,10.0,40.0,AUS_NSW.Sydney.947680_RMY
LOCATION,Thredbo Village,NSW,AUS,RMY,959080,-36.50,148.30,10.0,1368.0,AUS_NSW.Thredbo.Village.959080_RMY
LOCATION,Wagga Wagga,NSW,AUS,RMY,949100,-35.17,147.45,10.0,213.0,AUS_NSW.Wagga.Wagga.949100_RMY
LOCATION,Williamtown RAAF,NSW,AUS,RMY,947760,-32.80,151.83,10.0,8.0,AUS_NSW.Williamtown.RAAF.947760_RMY
LOCATION,Alice Springs Airport,NT,AUS,RMY,943260,-23.80,133.88,9.5,547.0,AUS_NT.Alice.Springs.Airport.943260_RMY
LOCATION,DARWIN,-,AUS,IWEC Data,941200,-12.40,130.87,9.5,30.0,AUS_NT.Darwin.941200_IWEC
LOCATION,Darwin Airport,NT,AUS,RMY,941200,-12.42,130.88,9.5,35.0,AUS_NT.Darwin.Airport.941200_RMY
LOCATION,Tennant Creek,NT,AUS,RMY,942380,-19.63,134.18,9.5,377.0,AUS_NT.Tennant.Creek.942380_RMY
LOCATION,Amberly,QLD,AUS,RMY,945680,-27.63,152.72,10.0,31.0,AUS_QLD.Amberley.945680_RMY
LOCATION,BRISBANE,-,AUS,IWEC Data,945780,-27.38,153.10,10.0,5.0,AUS_QLD.Brisbane.945780_IWEC
LOCATION,Brisbane,QLD,AUS,RMY,94578,-27.38,153.13,10.0,10.0,AUS_QLD.Brisbane.94578_RMY
LOCATION,Cairns Aero,QLD,AUS,RMY,948270,-16.88,145.75,10.0,8.0,AUS_QLD.Cairns.Aero.948270_RMY
LOCATION,Charleville Aero,QLD,AUS,RMY,945100,-26.42,146.27,10.0,303.0,AUS_QLD.Charleville.Aero.945100_RMY
LOCATION,Gladstone Airport,QLD,AUS,RMY,943810,-23.87,151.22,10.0,17.0,AUS_QLD.Gladstone.Airport.943810_RMY
LOCATION,Longreach Aero,QLD,AUS,RMY,943460,-23.43,144.28,10.0,192.0,AUS_QLD.Longreach.Aero.943460_RMY
LOCATION,Mackay,QLD,AUS,RMY,943670,-21.12,149.22,10.0,36.0,AUS_QLD.Mackay.943670_RMY
LOCATION,Mount Isa Aero,QLD,AUS,RMY,943320,-20.68,139.48,10.0,341.0,AUS_QLD.Mount.Isa.Aero.943320_RMY
LOCATION,Oakey Aero,QLD,AUS,RMY,945520,-27.42,151.73,10.0,407.0,AUS_QLD.Oakey.Aero.945520_RMY
LOCATION,Rockhampton Aero,QLD,AUS,RMY,943740,-23.38,150.48,10.0,14.0,AUS_QLD.Rockhampton.Aero.943740_RMY
LOCATION,Townsville Aero,QLD,AUS,RMY,942940,-19.25,146.77,10.0,9.0,AUS_QLD.Townsville.Aero.942940_RMY
LOCATION,Weipa Aero,QLD,AUS,RMY,941700,-12.68,141.92,10.0,19.0,AUS_QLD.Weipa.Aero.941700_RMY
LOCATION,Willis Island,QLD,AUS,RMY,942990,-16.30,149.97,10.0,9.0,AUS_QLD.Willis.Island.942990_RMY
LOCATION,Adelaide-Kent Town,SA,AUS,RMY,946750,-34.92,138.62,9.5,51.0,AUS_SA.Adelaide-Kent.Town.946750_RMY
LOCATION,ADELAIDE,-,AUS,IWEC Data,946720,-34.93,138.52,9.5,4.0,AUS_SA.Adelaide.946720_IWEC
LOCATION,Ceduna,SA,AUS,RMY,946530,-32.13,133.70,9.5,16.0,AUS_SA.Ceduna.946530_RMY
LOCATION,Mount Gambier Aero,SA,AUS,RMY,948210,-37.73,140.78,9.5,69.0,AUS_SA.Mount.Gambier.Aero.948210_RMY
LOCATION,Mt Lofty,SA,AUS,RMY,946780,-34.97,138.70,9.5,701.0,AUS_SA.Mt.Lofty.946780_RMY
LOCATION,Oodnadatta Airport,SA,AUS,RMY,944760,-27.55,135.45,9.5,117.0,AUS_SA.Oodnadatta.Airport.944760_RMY
LOCATION,Woomera Aerodrome,SA,AUS,RMY,946590,-31.15,136.82,9.5,168.0,AUS_SA.Woomera.Aerodrome.946590_RMY
LOCATION,Hobart-Ellerslie Road,TAS,AUS,RMY,949700,-42.88,147.33,10.0,51.0,AUS_TAS.Hobart-Ellerslie.Road.949700_RMY
LOCATION,Launceston-Ti Tree Ben,TAS,AUS,RMY,949690,-41.42,147.12,10.0,5.0,AUS_TAS.Launceston-Ti.Tree.Bend.949690_RMY
LOCATION,Launceston Airport,TAS,AUS,RMY,949680,-41.53,147.20,10.0,178.0,AUS_TAS.Launceston.Airport.949680_RMY
LOCATION,Low Head,TAS,AUS,RMY,959640,-41.05,146.78,10.0,4.0,AUS_TAS.Low.Head.959640_RMY
LOCATION,Ballarat Aerodrome,VIC,AUS,RMY,948520,-37.52,143.78,10.0,436.0,AUS_VIC.Ballarat.Aerodrome.948520_RMY
LOCATION,Cape Otway Lighthouse,VIC,AUS,RMY,948420,-38.85,143.52,10.0,83.0,AUS_VIC.Cape.Otway.Lighthouse.948420_RMY
LOCATION,East Sale Airport,VIC,AUS,RMY,949070,-38.10,147.13,10.0,8.0,AUS_VIC.East.Sale.Airport.949070_RMY
LOCATION,MELBOURNE,-,AUS,IWEC Data,948660,-37.67,144.83,10.0,141.0,AUS_VIC.Melbourne.948660_IWEC
LOCATION,Melbourne,VIC,AUS,RMY,948680,-37.82,144.97,10.0,32.0,AUS_VIC.Melbourne.948680_RMY
LOCATION,Mildura Airport,VIC,AUS,RMY,946930,-34.23,142.08,10.0,53.0,AUS_VIC.Mildura.Airport.946930_RMY
LOCATION,Moorabbin Airport,VIC,AUS,RMY,948700,-37.98,145.10,10.0,13.0,AUS_VIC.Moorabbin.Airport.948700_RMY
LOCATION,Tullamarine-Melbourne,VIC,AUS,RMY,948660,-37.67,144.85,10.0,119.0,AUS_VIC.Tullamarine-Melbourne.Airport.948660_RMY
LOCATION,Warrnambool Airport,VIC,AUS,RMY,948370,-38.28,142.45,10.0,71.0,AUS_VIC.Warrnambool.Airport.948370_RMY
LOCATION,Albany Airport,WA,AUS,RMY,948020,-34.93,117.80,8.0,69.0,AUS_WA.Albany.Airport.948020_RMY
LOCATION,Broome Airport,WA,AUS,RMY,942030,-17.95,122.23,8.0,9.0,AUS_WA.Broome.Airport.942030_RMY
LOCATION,Carnarvon Airport,WA,AUS,RMY,943000,-24.88,113.67,8.0,8.0,AUS_WA.Carnarvon.Airport.943000_RMY
LOCATION,Esperance,WA,AUS,RMY,946380,-33.83,121.88,8.0,27.0,AUS_WA.Esperance.946380_RMY
LOCATION,Forrest,WA,AUS,RMY,956460,-30.83,128.12,8.0,160.0,AUS_WA.Forrest.956460_RMY
LOCATION,Geraldton Airport,WA,AUS,RMY,944030,-28.80,114.70,8.0,35.0,AUS_WA.Geraldton.Airport.944030_RMY
LOCATION,Giles,WA,AUS,RMY,94461,-25.03,128.30,8.0,599.0,AUS_WA.Giles.94461_RMY
LOCATION,Halls Creek Airport,WA,AUS,RMY,942120,-18.23,127.67,8.0,424.0,AUS_WA.Halls.Creek.Airport.942120_RMY
LOCATION,Kalamunda Bickley,WA,AUS,RMY,956100,-32.02,116.13,8.0,385.0,AUS_WA.Kalamunda-Bickley.956100_RMY
LOCATION,Kalgoorlie-Boulder Air,WA,AUS,RMY,946370,-30.78,121.45,8.0,370.0,AUS_WA.Kalgoorlie-Boulder.Airport.946370_RMY
LOCATION,Katanning,WA,AUS,RMY,946410,-33.68,117.60,8.0,321.0,AUS_WA.Katanning.946410_RMY
LOCATION,LEARMONTH,-,AUS,IWEC Data,943020,-22.23,114.08,8.0,6.0,AUS_WA.Learmonth.943020_IWEC
LOCATION,Learmonth Airport,WA,AUS,RMY,943020,-22.23,114.08,8.0,5.0,AUS_WA.Learmonth.Airport.943020_RMY
LOCATION,Mandurah,WA,AUS,RMY,946050,-32.52,115.72,8.0,4.0,AUS_WA.Mandurah.946050_RMY
LOCATION,Manjimup,WA,AUS,RMY,946170,-34.25,116.15,8.0,287.0,AUS_WA.Manjimup.946170_RMY
LOCATION,Meekatharra Airport,WA,AUS,RMY,944300,-26.62,118.55,8.0,519.0,AUS_WA.Meekatharra.Airport.944300_RMY
LOCATION,Newman Airport,WA,AUS,RMY,943170,-23.42,119.80,8.0,524.0,AUS_WA.Newman.Airport.943170_RMY
LOCATION,PERTH,-,AUS,IWEC Data,946100,-31.93,115.95,8.0,29.0,AUS_WA.Perth.946100_IWEC
LOCATION,Perth Airport,WA,AUS,RMY,946100,-31.93,115.97,8.0,20.0,AUS_WA.Perth.Airport.946100_RMY
LOCATION,PORT HEDLAND,-,AUS,IWEC Data,943120,-20.23,119.10,8.0,8.0,AUS_WA.Port.Hedland.943120_IWEC
LOCATION,Port Hedland Airport,WA,AUS,RMY,943120,-20.37,118.63,8.0,9.0,AUS_WA.Port.Hedland.Airport.943120_RMY
LOCATION,Swanbourne,WA,AUS,RMY,946140,-31.95,115.77,8.0,20.0,AUS_WA.Swanbourne.946140_RMY
LOCATION,Wyndham,WA,AUS,RMY,942140,-15.48,128.12,8.0,16.0,AUS_WA.Wyndham.942140_RMY
LOCATION,GRAZ,-,AUT,IWEC Data,112400,47.00,15.43,1.0,347.0,AUT_Graz.112400_IWEC
LOCATION,INNSBRUCK,-,AUT,IWEC Data,111200,47.27,11.35,1.0,593.0,AUT_Innsbruck.111200_IWEC
LOCATION,LINZ,-,AUT,IWEC Data,110100,48.23,14.20,1.0,313.0,AUT_Linz.110100_IWEC
LOCATION,SALZBURG,-,AUT,IWEC Data,111500,47.80,13.00,1.0,450.0,AUT_Salzburg.111500_IWEC
LOCATION,VIENNA_ SCHWECHAT,-,AUT,IWEC Data,110360,48.12,16.57,1.0,190.0,AUT_Vienna.Schwechat.110360_IWEC
LOCATION,BRUSSELS,-,BEL,IWEC Data,064510,50.90,4.53,1.0,58.0,BEL_Brussels.064510_IWEC
LOCATION,OOSTENDE,-,BEL,IWEC Data,064070,51.20,2.87,1.0,5.0,BEL_Oostende.064070_IWEC
LOCATION,SAINT HUBERT,-,BEL,IWEC Data,064760,50.03,5.40,1.0,557.0,BEL_Saint.Hubert.064760_IWEC
LOCATION,BOGRA,-,BGD,SWERA,418830,24.85,89.37,6.0,20.0,BGD_Bogra.418830_SWERA
LOCATION,Chittagong/Patenga (CI,-,BGD,SWERA,419780,22.27,91.82,6.0,6.0,BGD_Chittagong-Patenga.419780_SWERA
LOCATION,COX'S_BAZAR,-,BGD,SWERA,419920,21.43,91.97,6.0,4.0,BGD_Coxs.Bazar.419920_SWERA
LOCATION,DHAKA/TEJGAON_(MIL),-,BGD,SWERA,419230,23.77,90.38,6.0,9.0,BGD_Dhaka.419230_SWERA
LOCATION,ISHURDI,-,BGD,SWERA,419070,24.13,89.05,6.0,14.0,BGD_Ishurdi.419070_SWERA
LOCATION,JESSORE_(CIV/MIL),-,BGD,SWERA,419360,23.18,89.17,6.0,7.0,BGD_Jessore.419360_SWERA
LOCATION,RANGPUR,-,BGD,SWERA,418590,25.73,89.23,6.0,34.0,BGD_Rangpur.418590_SWERA
LOCATION,SYLHET_OSMANI,-,BGD,SWERA,418910,24.90,91.88,6.0,35.0,BGD_Sylhet.418910_SWERA
LOCATION,PLOVDIV,-,BGR,IWEC Data,156250,42.13,24.75,2.0,185.0,BGR_Plovdiv.156250_IWEC
LOCATION,SOFIA,-,BGR,IWEC Data,156140,42.73,23.38,2.0,595.0,BGR_Sofia.156140_IWEC
LOCATION,VARNA,-,BGR,IWEC Data,155520,43.20,27.92,2.0,43.0,BGR_Varna.155520_IWEC
LOCATION,BANJA LUKA,-,BIH,IWEC Data,132420,44.78,17.22,1.0,156.0,BIH_Banja.Luka.132420_IWEC
LOCATION,MINSK,-,BLR,IWEC Data,268500,53.87,27.53,2.0,234.0,BLR_Minsk.268500_IWEC
LOCATION,BELIZE_INTL_AIRPORT,-,BLZ,SWERA,785830,17.53,-88.30,-6.0,5.0,BLZ_Belize.785830_SWERA
LOCATION,LA PAZ,-,BOL,IWEC Data,852010,-16.52,-68.18,-4.0,4042.0,BOL_La.Paz.852010_IWEC
LOCATION,Belem/Val de Caes,-,BRA,SWERA,821930,-1.38,-48.48,-3.0,16.0,BRA_Belem-Val.de.Caes.821930_SWERA
LOCATION,BELEM,-,BRA,IWEC Data,821930,-1.38,-48.48,-3.0,16.0,BRA_Belem.821930_IWEC
LOCATION,Belo Horizonte/Pampulh,-,BRA,SWERA,835830,-19.85,-43.95,-3.0,785.0,BRA_Belo.Horizonte-Pampulha.835830_SWERA
LOCATION,BOA_VISTA_(CIV/MIL),-,BRA,SWERA,820220,2.83,-60.70,-4.0,140.0,BRA_Boa.Vista.820220_SWERA
LOCATION,Bom Jesus da Lapa,-,BRA,SWERA,832880,-13.27,-43.42,-3.0,458.0,BRA_Bom.Jesus.da.Lapa.832880_SWERA
LOCATION,BRASILIA,-,BRA,IWEC Data,833780,-15.87,-47.93,-3.0,1061.0,BRA_Brasilia.833780_IWEC
LOCATION,BRASILIA_(CIV/MIL),-,BRA,SWERA,833780,-15.87,-47.93,-3.0,1061.0,BRA_Brasilia.833780_SWERA
LOCATION,CAMPO_GRANDE_INTL,-,BRA,SWERA,836120,-20.47,-54.67,-4.0,556.0,BRA_Campo.Grande.836120_SWERA
LOCATION,CUIABA/MARECHAL_RON,-,BRA,SWERA,833620,-15.65,-56.10,-4.0,182.0,BRA_Cuiaba-Marechal.Ron.833620_SWERA
LOCATION,CURITIBA/AFONSO_PEN,-,BRA,SWERA,838400,-25.52,-49.17,-3.0,908.0,BRA_Curitiba-Afonso.Pen.838400_SWERA
LOCATION,FLORIANOPOLIS_ARPT,-,BRA,SWERA,838990,-27.67,-48.55,-3.0,5.0,BRA_Florianopolis.838990_SWERA
LOCATION,FORTALEZA/PINTO_MAR,-,BRA,SWERA,823980,-3.78,-38.53,-3.0,25.0,BRA_Fortaleza-Pinto.Mar.823980_SWERA
LOCATION,JACAREACANGA,-,BRA,SWERA,826400,-6.27,-57.73,-4.0,98.0,BRA_Jacareacanga.826400_SWERA
LOCATION,MANAUS,-,BRA,SWERA,821110,-3.13,-60.02,-4.0,72.0,BRA_Manaus.823310_SWERA
LOCATION,PETROLINA_AIRPORT,-,BRA,SWERA,829840,-9.35,-40.55,-3.0,375.0,BRA_Petrolina.829840_SWERA
LOCATION,PORTO_NACIONAL_ARPT,-,BRA,SWERA,830630,-10.70,-48.40,-3.0,290.0,BRA_Porto.Nacional.830630_SWERA
LOCATION,PORTO_VELHO(CV/MIL),-,BRA,SWERA,828240,-8.77,-63.92,-4.0,88.0,BRA_Porto.Velho.828240_SWERA
LOCATION,RECIFE/GUARARAPES,-,BRA,SWERA,828990,-8.07,-34.85,-3.0,19.0,BRA_Recife-Guararapes.828990_SWERA
LOCATION,RECIFE,-,BRA,IWEC Data,828990,-8.10,-34.88,-3.0,19.0,BRA_Recife.828990_IWEC
LOCATION,SANTOS_DUMONT/RIO,-,BRA,SWERA,837550,-22.90,-43.17,-3.0,3.0,BRA_Rio.de.Janeiro-Santos.Dumont.837550_SWERA
LOCATION,SALVADOR,-,BRA,SWERA,832480,-13.02,-38.52,-3.0,51.0,BRA_Salvador.832290_SWERA
LOCATION,SANTA_MARIA,-,BRA,SWERA,839360,-29.70,-53.70,-3.0,114.0,BRA_Santa.Maria.839360_SWERA
LOCATION,SAO_PAULO/CONGONHAS,-,BRA,SWERA,837800,-23.62,-46.65,-3.0,803.0,BRA_Sao.Paulo-Congonhas.837800_SWERA
LOCATION,SAO PAULO,-,BRA,IWEC Data,837800,-23.62,-46.65,-3.0,803.0,BRA_Sao.Paulo.837800_IWEC
LOCATION,BANDAR SERI BEGAWAN,-,BRN,IWEC Data,963150,4.93,114.93,8.0,15.0,BRN_Bandar.Seri.Begawan.963150_IWEC
LOCATION,Calgary Int'l,AB,CAN,WYEC2-B-25110,718770,51.12,-114.02,-7.0,1084.0,CAN_AB_Calgary.718770_CWEC
LOCATION,Edmonton Stony Plain,AB,CAN,WYEC2-B-25145,711230,53.53,-114.10,-7.0,723.0,CAN_AB_Edmonton.711230_CWEC
LOCATION,Fort McMurray,AB,CAN,WYEC2-B-25105,719320,56.65,-111.22,-7.0,369.0,CAN_AB_Fort.McMurray.719320_CWEC
LOCATION,Grand Prairie,AB,CAN,WYEC2-e-94803,719400,55.18,-118.88,-7.0,669.0,CAN_AB_Grande.Prairie.719400_CWEC
LOCATION,Lethbridge,AB,CAN,WYEC2-e-71243,712430,49.63,-112.80,-7.0,921.0,CAN_AB_Lethbridge.712430_CWEC
LOCATION,Medicine Hat,AB,CAN,WYEC2-B-25118,718720,50.02,-110.72,-7.0,716.0,CAN_AB_Medicine.Hat.718720_CWEC
LOCATION,Abbotsford,BC,CAN,WYEC2-B-24288,711080,49.03,-122.37,-8.0,58.0,CAN_BC_Abbotsford.711080_CWEC
LOCATION,Comox,BC,CAN,WYEC2-B-24292,718930,49.72,-124.90,-8.0,24.0,CAN_BC_Comox.718930_CWEC
LOCATION,Cranbrook,BC,CAN,WYEC2-e-94157,718800,49.60,-115.78,-8.0,940.0,CAN_BC_Cranbrook.718800_CWEC
LOCATION,Fort St John,BC,CAN,WYEC2-B-25231,719430,56.23,-120.73,-8.0,695.0,CAN_BC_Fort.St.John.719430_CWEC
LOCATION,Kamloops,BC,CAN,WYEC2-B-25220,718870,50.70,-120.45,-8.0,346.0,CAN_BC_Kamloops.718870_CWEC
LOCATION,Port Hardy,BC,CAN,WYEC2-B-25223,711090,50.68,-127.37,-8.0,22.0,CAN_BC_Port.Hardy.711090_CWEC
LOCATION,Prince George,BC,CAN,WYEC2-B-25206,718960,53.88,-122.68,-8.0,691.0,CAN_BC_Prince.George.718960_CWEC
LOCATION,Prince Rupert,BC,CAN,WYEC2-B-25353,718980,54.30,-130.43,-8.0,34.0,CAN_BC_Prince.Rupert.718980_CWEC
LOCATION,Sandspit,BC,CAN,WYEC2-B-25346,711010,53.25,-131.82,-8.0,6.0,CAN_BC_Sandspit.711010_CWEC
LOCATION,Smithers,BC,CAN,WYEC2-B-25225,719500,54.82,-127.18,-8.0,523.0,CAN_BC_Smithers.719500_CWEC
LOCATION,Summerland,BC,CAN,WYEC2-B-94152,717680,49.57,-119.65,-8.0,479.0,CAN_BC_Summerland.717680_CWEC
LOCATION,Vancouver Int'l,BC,CAN,WYEC2-B-94238,718920,49.18,-123.17,-8.0,2.0,CAN_BC_Vancouver.718920_CWEC
LOCATION,Victoria Int'l,BC,CAN,WYEC2-B-24297,717990,48.65,-123.43,-8.0,19.0,CAN_BC_Victoria.717990_CWEC
LOCATION,Brandon,MB,CAN,WYEC2-e-14997,711400,49.92,-99.95,-6.0,409.0,CAN_MB_Brandon.711400_CWEC
LOCATION,Churchill,MB,CAN,WYEC2-B-15901,719130,58.75,-94.07,-6.0,29.0,CAN_MB_Churchill.719130_CWEC
LOCATION,The Pas,MB,CAN,WYEC2-B-25004,718670,53.97,-101.10,-6.0,271.0,CAN_MB_The.Pas.718670_CWEC
LOCATION,Winnipeg Int'l,MB,CAN,WYEC2-B-14996,718520,49.90,-97.23,-6.0,239.0,CAN_MB_Winnipeg.718520_CWEC
LOCATION,Fredericton,NB,CAN,WYEC2-B-14670,717000,45.87,-66.53,-4.0,20.0,CAN_NB_Fredericton.717000_CWEC
LOCATION,Miramichi,NB,CAN,WYEC2-e-71744,717440,47.02,-65.45,-4.0,33.0,CAN_NB_Miramichi.717440_CWEC
LOCATION,Saint John,NB,CAN,WYEC2-B-14643,716090,45.32,-65.88,-4.0,109.0,CAN_NB_Saint.John.716090_CWEC
LOCATION,Battle Harbour,NF,CAN,WYEC2-B-CAN06,718170,52.30,-55.83,-3.5,8.0,CAN_NF_Battle.Harbour.718170_CWEC
LOCATION,Gander Int'l,NF,CAN,WYEC2-B-14509,718030,48.95,-54.57,-3.5,151.0,CAN_NF_Gander.718030_CWEC
LOCATION,Goose,NF,CAN,WYEC2-B-15601,718160,53.32,-60.37,-3.5,49.0,CAN_NF_Goose.718160_CWEC
LOCATION,St John's,NF,CAN,WYEC2-B-14521,718010,47.62,-52.73,-3.5,140.0,CAN_NF_St.Johns.718010_CWEC
LOCATION,Stephenville,NF,CAN,WYEC2-B-14503,718150,48.53,-58.55,-3.5,26.0,CAN_NF_Stephenville.718150_CWEC
LOCATION,Greenwood,NS,CAN,WYEC2-B-14636,713970,44.98,-64.92,-4.0,28.0,CAN_NS_Greenwood.713970_CWEC
LOCATION,Sable Island,NS,CAN,WYEC2-B-14642,716000,43.93,-60.02,-4.0,4.0,CAN_NS_Sable.Island.716000_CWEC
LOCATION,Shearwater,NS,CAN,WYEC2-B-14633,716010,44.63,-63.50,-4.0,51.0,CAN_NS_Shearwater.716010_CWEC
LOCATION,Sydney,NS,CAN,WYEC2-B-14646,717070,46.17,-60.05,-4.0,62.0,CAN_NS_Sydney.717070_CWEC
LOCATION,Truro,NS,CAN,WYEC2-e-14675,713980,45.37,-63.27,-4.0,40.0,CAN_NS_Truro.713980_CWEC
LOCATION,Inuvik Ua,NT,CAN,WYEC2-B-22258,719570,68.30,-133.48,-7.0,68.0,CAN_NT_Inuvik.719570_CWEC
LOCATION,Yellowknife,NT,CAN,WYEC2-B-26110,719360,62.47,-114.45,-7.0,206.0,CAN_NT_Yellowknife.719360_CWEC
LOCATION,Resolute,NU,CAN,WYEC2-B-17901,719240,74.72,-94.98,-6.0,67.0,CAN_NU_Resolute.719240_CWEC
LOCATION,Kingston,ON,CAN,WYEC2-B-CAN15,718200,44.22,-76.60,-5.0,93.0,CAN_ON_Kingston.716200_CWEC
LOCATION,London,ON,CAN,WYEC2-B-94805,716230,43.03,-81.15,-5.0,278.0,CAN_ON_London.716230_CWEC
LOCATION,Mount Forest,ON,CAN,WYEC2-B-94857,716310,43.98,-80.75,-5.0,415.0,CAN_ON_Mount.Forest.716310_CWEC
LOCATION,Muskoka,ON,CAN,WYEC2-B-04704,716300,44.97,-79.30,-5.0,282.0,CAN_ON_Muskoka.716300_CWEC
LOCATION,North Bay,ON,CAN,WYEC2-B-04705,717310,46.35,-79.43,-5.0,371.0,CAN_ON_North.Bay.717310_CWEC
LOCATION,Ottawa Int'l,ON,CAN,WYEC2-B-04772,716280,45.32,-75.67,-5.0,114.0,CAN_ON_Ottawa.716280_CWEC
LOCATION,Sault Ste Marie,ON,CAN,WYEC2-B-94842,712600,46.48,-84.52,-5.0,192.0,CAN_ON_Sault.Ste.Marie.712600_CWEC
LOCATION,Simcoe,ON,CAN,WYEC2-e-94858,715270,42.85,-80.27,-5.0,241.0,CAN_ON_Simcoe.715270_CWEC
LOCATION,Thunder Bay,ON,CAN,WYEC2-B-94804,717490,48.37,-89.32,-5.0,199.0,CAN_ON_Thunder.Bay.717490_CWEC
LOCATION,Timmins,ON,CAN,WYEC2-e-94831,717390,48.57,-81.37,-5.0,295.0,CAN_ON_Timmins.717390_CWEC
LOCATION,Toronto Int'l,ON,CAN,WYEC2-B-04714,716240,43.67,-79.63,-5.0,173.0,CAN_ON_Toronto.716240_CWEC
LOCATION,Trenton,ON,CAN,WYEC2-B-04715,716210,44.12,-77.53,-5.0,86.0,CAN_ON_Trenton.716210_CWEC
LOCATION,Windsor,ON,CAN,WYEC2-B-94810,715380,42.27,-82.97,-5.0,190.0,CAN_ON_Windsor.715380_CWEC
LOCATION,Charlottetown CDA,PE,CAN,WYEC2-B-14688,717060,46.28,-63.13,-4.0,54.0,CAN_PE_Charlottetown.717060_CWEC
LOCATION,Bagotville,PQ,CAN,WYEC2-B-94795,717270,48.33,-71.00,-5.0,159.0,CAN_PQ_Bagotville.717270_CWEC
LOCATION,Baie Comeau,PQ,CAN,WYEC2-B-14627,711870,49.13,-68.20,-5.0,22.0,CAN_PQ_Baie.Comeau.711870_CWEC
LOCATION,Grindstone Island,PQ,CAN,WYEC2-B-CAN13,-,47.38,-61.87,-5.0,59.0,CAN_PQ_Grindstone.Island_CWEC
LOCATION,Kuujjuarapik,PQ,CAN,WYEC2-B-15701,719050,55.28,-77.77,-5.0,12.0,CAN_PQ_Kuujjuarapik.719050_CWEC
LOCATION,Kuujuaq,PQ,CAN,WYEC2-B-15605,719060,58.10,-68.42,-5.0,37.0,CAN_PQ_Kuujuaq.719060_CWEC
LOCATION,La Grande Riviere,PQ,CAN,WYEC2-B-73715,718270,53.63,-77.70,-5.0,195.0,CAN_PQ_La.Grande.Riviere.718270_CWEC
LOCATION,Lake Eon,PQ,CAN,WYEC2-B-CAN07,714210,51.87,-63.28,-5.0,561.0,CAN_PQ_Lake.Eon.714210_CWEC
LOCATION,Mont Joli,PQ,CAN,WYEC2-B-14639,717180,48.60,-68.22,-5.0,52.0,CAN_PQ_Mont.Joli.717180_CWEC
LOCATION,Montreal Int'l,PQ,CAN,WYEC2-B-94792,716270,45.47,-73.75,-5.0,36.0,CAN_PQ_Montreal.Intl.AP.716270_CWEC
LOCATION,Montreal Jean Brebeuf,PQ,CAN,WYEC2-B-04770,71612,45.50,-73.62,-5.0,133.0,CAN_PQ_Montreal.Jean.Brebeuf.716278_CWEC
LOCATION,Montreal Mirabel,PQ,CAN,WYEC2-B-75290,716278,45.68,-74.03,-5.0,82.0,CAN_PQ_Montreal.Mirabel.716278_CWEC
LOCATION,Nitchequon,PQ,CAN,WYEC2-B-15703,CAN270,53.20,-70.90,-5.0,536.0,CAN_PQ_Nitchequon.CAN270_CWEC
LOCATION,Quebec City,PQ,CAN,WYEC2-B-04708,717080,46.80,-71.38,-5.0,73.0,CAN_PQ_Quebec.717140_CWEC
LOCATION,Riviere Du Loup,PQ,CAN,WYEC2-B-CAN12,717150,47.80,-69.55,-5.0,148.0,CAN_PQ_Riviere.du.Loup.717150_CWEC
